_id,State/UT/City,Dangerous or Careless Driving/ Overtaking etc Cases,Dangerous or Careless Driving/ Overtaking etc Injured,Dangerous or Careless Driving/ Overtaking etc Died,Overspeeding Cases,Overspeeding Injured,Overspeeding Died,Driving under Influence of Drug/Alcohol Cases,Driving under Influence of Drug/Alcohol Injured,Driving under Influence of Drug/Alcohol Died,Physical Fatigue of Drivers Cases,Physical Fatigue of Drivers Injured,Physical Fatigue of Drivers Died,Defect in Mechanical Condition of Vehicle Cases,Defect in Mechanical Condition of Vehicle Injured,Defect in Mechanical Condition of Vehicle Died,Animal Crossing Cases,Animal Crossing Injured,Animal Crossing Died,Weather Condition (Total) Cases,Weather Condition (Total) Injured,Weather Condition (Total) Died,Weather Condition (Poor Visibility) Cases,Weather Condition (Poor Visibility) Injured,Weather Condition (Poor Visibility) Died,Weather Condition (Other Causes) Cases,Weather Condition (Other Causes) Injured,Weather Condition (Other Causes) Died,Lack of Road Infrastructure Cases,Lack of Road Infrastructure Injured,Lack of Road Infrastructure Died,Vehicles Parking at Road Shoulders Cases,Vehicles Parking at Road Shoulders Injured,Vehicles Parking at Road Shoulders Died,Causes Not Known Cases,Causes Not Known Injured,Causes Not Known Died,Other Causes Cases,Other Causes Injured,Other Causes Died,Total Road Accidents Cases,Total Road Accidents Injured,Total Road Accidents Died
50,COIMBATORE,0,0,0,729,577,198,9,8,2,8,8,1,0,0,0,57,33,13,17,9,9,17,9,9,0,0,0,0,0,0,0,0,0,0,0,0,46,52,11,866,687,234
51,DELHI (CITY),2026,1748,493,1411,1197,402,47,49,9,5,4,1,13,14,4,15,10,5,74,77,15,57,60,10,17,17,5,14,13,5,21,18,9,255,195,67,624,502,162,4505,3827,1172
52,DHANBAD,68,33,57,77,65,61,0,0,0,0,0,0,28,6,3,1,0,0,13,4,2,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,108,123
53,DURG BHILAINAGAR,0,0,0,623,511,93,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,513,95
54,FARIDABAD,188,160,72,218,194,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,69,84,0,0,0,538,423,244
55,GHAZIABAD,141,102,64,123,89,50,5,6,3,0,0,0,0,0,0,0,0,0,8,6,3,3,2,1,5,4,2,0,0,0,0,0,0,19,16,9,0,0,0,296,219,129
56,GWALIOR,26,26,6,792,720,98,0,0,0,0,0,0,16,9,9,0,0,0,72,67,7,0,0,0,72,67,7,0,0,0,0,0,0,0,0,0,128,88,45,1034,910,165
57,HYDERABAD,252,254,43,1961,1865,248,45,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,3,0,0,0,0,0,0,0,0,0,2273,2151,297
58,INDORE,681,431,165,408,308,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,733,35,812,742,32,2618,2215,273
59,JABALPUR,384,409,48,264,262,42,364,239,41,0,0,0,529,345,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,697,60,1802,1952,223
60,JAIPUR,1166,997,318,942,755,293,31,26,6,0,0,0,2,2,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,14,10,3,2166,1791,625
61,JAMSHEDPUR,152,134,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,134,65
62,JODHPUR,97,64,40,314,223,135,19,14,6,27,17,12,16,13,4,11,9,3,2,0,2,1,0,1,1,0,1,19,11,8,0,0,0,41,36,10,49,34,16,595,421,236
63,KANNUR,670,792,56,314,339,50,2,3,0,0,0,0,0,0,0,8,7,1,110,181,14,110,181,14,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,1110,1327,122
64,KANPUR,315,138,315,212,118,212,0,0,0,0,0,0,6,12,6,49,28,49,9,3,9,8,3,8,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,593,299,593
65,KOCHI,978,964,51,660,658,62,2,2,0,0,0,0,22,24,2,19,19,4,43,45,10,25,26,8,18,19,2,39,28,11,18,18,1,0,0,0,0,0,0,1781,1758,141
66,KOLKATA,31,16,13,25,11,7,14,9,0,3,0,3,0,0,0,0,0,0,15,0,15,6,0,6,9,0,9,3,0,3,0,0,0,0,0,0,1428,1289,170,1519,1325,211
67,KOLLAM,764,764,87,786,882,96,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,1647,184
68,KOTA,5,5,1,357,358,73,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,368,367,75
69,KOZHIKODE,268,281,16,1091,1105,100,4,4,1,0,0,0,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,1391,131
70,LUCKNOW,738,487,302,137,82,54,20,12,7,3,0,3,19,10,10,3,3,0,17,9,6,15,8,5,2,1,1,2,0,0,0,0,0,3,3,0,121,49,77,1063,655,459
71,LUDHIANA,117,49,88,257,110,187,4,3,2,4,0,5,3,0,4,22,0,22,13,0,13,8,0,8,5,0,5,7,1,10,10,5,9,3,1,2,38,0,38,478,169,380
72,MADURAI,46,43,7,559,454,146,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,506,154
73,MALAPPURAM,39,48,9,637,697,85,2,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,1,0,686,757,95
74,MEERUT,132,100,44,191,120,90,23,16,7,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,238,141
75,MUMBAI,250,15,239,235,7,225,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,493,22,472
76,NAGPUR,507,405,134,504,385,141,13,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,797,280
77,NASIK,0,0,0,33,7,33,0,0,0,3,0,3,11,5,10,7,2,7,47,4,46,21,3,22,26,1,24,18,0,19,23,4,24,0,0,0,0,0,0,142,22,142
78,PATNA,131,78,96,175,120,51,32,71,29,0,0,0,0,0,0,0,0,0,46,16,34,46,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,285,210
